SIDO_NM,CCG_NM,스타벅스,올리브영,맥도날드,영화관,지정브랜드_매장수
강원특별자치도,강릉시,10,5,2,0,17
강원특별자치도,고성군,1,0,0,0,1
강원특별자치도,동해시,2,3,0,0,5
강원특별자치도,삼척시,0,1,0,0,1
강원특별자치도,속초시,6,3,0,0,9
강원특별자치도,양구군,0,0,0,0,0
강원특별자치도,양양군,0,0,0,0,0
강원특별자치도,영월군,0,0,0,0,0
강원특별자치도,원주시,13,7,0,0,20
강원특별자치도,인제군,0,0,0,0,0
강원특별자치도,정선군,0,0,0,0,0
강원특별자치도,철원군,0,1,0,0,1
강원특별자치도,춘천시,10,6,0,1,17
강원특별자치도,태백시,0,1,0,0,1
강원특별자치도,평창군,1,0,0,0,1
강원특별자치도,홍천군,2,1,0,0,3
강원특별자치도,화천군,0,0,0,0,0
강원특별자치도,횡성군,0,1,0,0,1
경기도,가평군,3,0,0,0,3
경기도,고양시,45,33,2,2,82
경기도,과천시,5,2,0,0,7
경기도,광명시,12,8,1,0,21
경기도,광주시,10,8,0,0,18
경기도,구리시,8,8,1,1,18
경기도,군포시,7,4,1,0,12
경기도,김포시,20,17,3,0,40
경기도,남양주시,20,20,1,1,42
경기도,동두천시,3,1,1,0,5
경기도,부천시,25,27,1,0,53
경기도,성남시,59,33,2,1,95
경기도,수원시,49,36,3,3,91
경기도,시흥시,13,13,0,0,26
경기도,안산시,14,8,0,2,24
경기도,안성시,5,3,1,1,10
경기도,안양시,22,16,0,2,40
경기도,양주시,11,6,0,0,17
경기도,양평군,2,1,0,0,3
경기도,여주시,6,2,0,0,8
경기도,연천군,1,1,0,0,2
경기도,오산시,9,8,2,0,19
경기도,용인시,51,25,3,0,79
경기도,의왕시,7,3,0,0,10
경기도,의정부시,14,10,1,0,25
경기도,이천시,8,4,0,0,12
경기도,파주시,15,12,1,0,28
경기도,평택시,20,19,1,1,41
경기도,포천시,4,3,0,0,7
경기도,하남시,14,12,1,0,27
경기도,화성시,38,31,3,0,72
경상남도,거제시,7,5,0,0,12
경상남도,거창군,0,0,0,0,0
경상남도,고성군,0,1,0,0,1
경상남도,김해시,16,16,2,0,34
경상남도,남해군,0,0,0,0,0
경상남도,밀양시,1,0,0,0,1
경상남도,사천시,2,2,1,0,5
경상남도,산청군,0,0,0,0,0
경상남도,양산시,11,9,2,0,22
경상남도,의령군,0,0,0,0,0
경상남도,진주시,9,12,0,0,21
경상남도,창녕군,0,0,0,0,0
경상남도,창원시,34,24,2,0,60
경상남도,통영시,3,2,0,0,5
경상남도,하동군,0,0,0,0,0
경상남도,함안군,0,1,0,0,1
경상남도,함양군,0,1,0,0,1
경상남도,합천군,0,0,0,0,0
경상북도,경산시,12,9,0,0,21
경상북도,경주시,10,4,1,1,16
경상북도,고령군,0,0,0,0,0
경상북도,구미시,12,9,0,1,22
경상북도,김천시,3,2,0,0,5
경상북도,문경시,0,0,0,0,0
경상북도,봉화군,0,0,0,0,0
경상북도,상주시,1,2,0,1,4
경상북도,성주군,0,1,0,0,1
경상북도,안동시,6,4,1,0,11
경상북도,영덕군,0,0,0,0,0
경상북도,영양군,0,0,0,0,0
경상북도,영주시,1,3,0,0,4
경상북도,영천시,1,2,0,1,4
경상북도,예천군,1,2,0,0,3
경상북도,울릉군,0,0,0,0,0
경상북도,울진군,0,1,0,0,1
경상북도,의성군,0,0,0,0,0
경상북도,청도군,0,0,0,0,0
경상북도,청송군,0,0,0,0,0
경상북도,칠곡군,0,2,0,0,2
경상북도,포항시,19,8,1,0,28
광주광역시,광산구,18,11,1,0,30
광주광역시,남구,10,5,0,0,15
광주광역시,동구,12,7,0,0,19
광주광역시,북구,16,17,1,0,34
광주광역시,서구,19,17,1,0,37
대구광역시,군위군,0,0,0,0,0
대구광역시,남구,6,2,1,0,9
대구광역시,달서구,21,13,3,0,37
